CustomerId,Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment_Concat,RFM_Score,RFM_Level,Cluster
15811,498,3,207.0,2,1,4,214,7.0,Loyal,2
16661,63,3,123.95,4,1,3,413,8.0,Champions,2
26113,359,3,162.0,2,1,4,214,7.0,Loyal,2
27978,496,3,163.0,2,1,4,214,7.0,Loyal,2
29870,286,3,314.0,3,1,4,314,8.0,Champions,2
30283,118,3,133.0,4,1,4,414,9.0,Can't Lose Them,2
48250,140,3,108.95,4,1,3,413,8.0,Champions,2
60760,6,11,780.0,4,1,4,414,9.0,Can't Lose Them,2
75556,39,23,3974.0,4,2,4,424,10.0,Can't Lose Them,2
75691,127,3,97.0,4,1,3,413,8.0,Champions,2
75694,119,4,91.95,4,1,3,413,8.0,Champions,2
77466,207,3,497.0,3,1,4,314,8.0,Champions,2
77526,165,3,159.0,4,1,4,414,9.0,Can't Lose Them,2
77529,43,3,209.0,4,1,4,414,9.0,Can't Lose Them,2
77549,162,3,123.0,4,1,3,413,8.0,Champions,2
77609,115,5,213.0,4,1,4,414,9.0,Can't Lose Them,2
77695,514,3,160.0,2,1,4,214,7.0,Loyal,2
77740,6,6,207.0,4,1,4,414,9.0,Can't Lose Them,2
77771,68,4,190.0,4,1,4,414,9.0,Can't Lose Them,2
77894,25,7,437.0,4,1,4,414,9.0,Can't Lose Them,2
78029,66,4,129.0,4,1,3,413,8.0,Champions,2
78033,34,4,492.0,4,1,4,414,9.0,Can't Lose Them,2
78317,320,4,201.0,3,1,4,314,8.0,Champions,2
78388,1,7,433.0,4,1,4,414,9.0,Can't Lose Them,2
78414,45,2,244.0,4,1,4,414,9.0,Can't Lose Them,2
78894,204,3,143.95,3,1,4,314,8.0,Champions,2
78919,7,8,641.5,4,1,4,414,9.0,Can't Lose Them,2
78986,94,9,483.0,4,1,4,414,9.0,Can't Lose Them,2
79654,69,10,1315.0,4,1,4,414,9.0,Can't Lose Them,2
79693,42,7,744.0,4,1,4,414,9.0,Can't Lose Them,2
79735,117,4,103.5,4,1,3,413,8.0,Champions,2
79746,244,3,138.0,3,1,4,314,8.0,Champions,2
79775,17,10,357.9,4,1,4,414,9.0,Can't Lose Them,2
80149,71,5,399.0,4,1,4,414,9.0,Can't Lose Them,2
81840,354,3,211.95,3,1,4,314,8.0,Champions,2
82173,120,7,311.0,4,1,4,414,9.0,Can't Lose Them,2
82747,132,3,193.0,4,1,4,414,9.0,Can't Lose Them,2
82767,421,4,412.0,2,1,4,214,7.0,Loyal,2
82812,79,4,113.0,4,1,3,413,8.0,Champions,2
83329,149,4,194.0,4,1,4,414,9.0,Can't Lose Them,2
83379,67,4,136.95,4,1,4,414,9.0,Can't Lose Them,2
83392,307,3,187.0,3,1,4,314,8.0,Champions,2
84030,124,3,218.0,4,1,4,414,9.0,Can't Lose Them,2
84049,242,3,162.0,3,1,4,314,8.0,Champions,2
84053,84,3,338.0,4,1,4,414,9.0,Can't Lose Them,2
84056,98,8,672.0,4,1,4,414,9.0,Can't Lose Them,2
84065,103,13,642.4000000000001,4,2,4,424,10.0,Can't Lose Them,2
