CustomerId,Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment_Concat,RFM_Score,RFM_Level,Cluster
15811,518,3,207.0,2,1,4,214,7.0,Loyal,1
16661,83,3,123.95,4,1,3,413,8.0,Champions,1
26113,379,3,162.0,2,1,4,214,7.0,Loyal,1
27978,516,3,163.0,2,1,4,214,7.0,Loyal,1
29870,306,3,314.0,3,1,4,314,8.0,Champions,1
30283,138,3,133.0,4,1,4,414,9.0,Can't Lose Them,1
48250,160,3,108.95,4,1,3,413,8.0,Champions,1
60760,26,11,780.0,4,1,4,414,9.0,Can't Lose Them,1
75556,59,23,3974.0,4,2,4,424,10.0,Can't Lose Them,1
75691,147,3,97.0,4,1,3,413,8.0,Champions,1
75694,139,4,91.95,4,1,3,413,8.0,Champions,1
76448,321,2,174.0,3,1,4,314,8.0,Champions,1
76642,179,2,78.0,4,1,3,413,8.0,Champions,1
77466,227,3,497.0,3,1,4,314,8.0,Champions,1
77526,185,3,159.0,3,1,4,314,8.0,Champions,1
77529,20,4,235.0,4,1,4,414,9.0,Can't Lose Them,1
77549,182,3,123.0,4,1,3,413,8.0,Champions,1
77609,135,5,213.0,4,1,4,414,9.0,Can't Lose Them,1
77664,86,2,98.0,4,1,3,413,8.0,Champions,1
77675,371,2,144.0,2,1,4,214,7.0,Loyal,1
77695,534,3,160.0,2,1,4,214,7.0,Loyal,1
77740,26,6,207.0,4,1,4,414,9.0,Can't Lose Them,1
77771,88,4,190.0,4,1,4,414,9.0,Can't Lose Them,1
77894,45,7,437.0,4,1,4,414,9.0,Can't Lose Them,1
78029,86,4,129.0,4,1,3,413,8.0,Champions,1
78033,54,4,492.0,4,1,4,414,9.0,Can't Lose Them,1
78124,229,2,82.0,3,1,3,313,7.0,Loyal,1
78210,374,2,170.0,2,1,4,214,7.0,Loyal,1
78317,340,4,201.0,3,1,4,314,8.0,Champions,1
78388,21,7,433.0,4,1,4,414,9.0,Can't Lose Them,1
78414,65,2,244.0,4,1,4,414,9.0,Can't Lose Them,1
78894,224,3,143.95,3,1,4,314,8.0,Champions,1
78919,20,9,730.5,4,1,4,414,9.0,Can't Lose Them,1
78986,114,9,483.0,4,1,4,414,9.0,Can't Lose Them,1
79654,89,10,1315.0,4,1,4,414,9.0,Can't Lose Them,1
79693,62,7,744.0,4,1,4,414,9.0,Can't Lose Them,1
79735,137,4,103.5,4,1,3,413,8.0,Champions,1
79746,264,3,138.0,3,1,4,314,8.0,Champions,1
79762,373,2,118.0,2,1,3,213,6.0,Potential,1
79775,9,12,401.79999999999995,4,1,4,414,9.0,Can't Lose Them,1
80149,91,5,399.0,4,1,4,414,9.0,Can't Lose Them,1
81840,374,3,211.95,2,1,4,214,7.0,Loyal,1
82173,140,7,311.0,4,1,4,414,9.0,Can't Lose Them,1
82747,152,3,193.0,4,1,4,414,9.0,Can't Lose Them,1
82767,441,4,412.0,2,1,4,214,7.0,Loyal,1
82812,99,4,113.0,4,1,3,413,8.0,Champions,1
83329,81,5,249.0,4,1,4,414,9.0,Can't Lose Them,1
83343,406,2,217.0,2,1,4,214,7.0,Loyal,1
83379,87,4,136.95,4,1,4,414,9.0,Can't Lose Them,1
83392,81,4,236.0,4,1,4,414,9.0,Can't Lose Them,1
84030,144,3,218.0,4,1,4,414,9.0,Can't Lose Them,1
84049,50,5,272.0,4,1,4,414,9.0,Can't Lose Them,1
84053,104,3,338.0,4,1,4,414,9.0,Can't Lose Them,1
84056,118,8,672.0,4,1,4,414,9.0,Can't Lose Them,1
84065,123,13,642.4,4,1,4,414,9.0,Can't Lose Them,1
84078,143,3,228.0,4,1,4,414,9.0,Can't Lose Them,1
84111,113,2,288.0,4,1,4,414,9.0,Can't Lose Them,1
84126,64,5,450.0,4,1,4,414,9.0,Can't Lose Them,1
84195,17,3,286.0,4,1,4,414,9.0,Can't Lose Them,1
84220,122,2,87.0,4,1,3,413,8.0,Champions,1
84241,219,6,411.0,3,1,4,314,8.0,Champions,1
84272,48,3,97.0,4,1,3,413,8.0,Champions,1
84297,328,4,104.0,3,1,3,313,7.0,Loyal,1
84302,151,2,178.0,4,1,4,414,9.0,Can't Lose Them,1
84339,86,4,57.0,4,1,2,412,7.0,Loyal,1
84649,330,2,288.0,3,1,4,314,8.0,Champions,1
84703,33,5,260.95,4,1,4,414,9.0,Can't Lose Them,1
84939,61,3,169.0,4,1,4,414,9.0,Can't Lose Them,1
85510,49,2,168.8,4,1,4,414,9.0,Can't Lose Them,1
85531,616,2,224.0,1,1,4,114,6.0,Potential,1
86815,44,4,270.0,4,1,4,414,9.0,Can't Lose Them,1
86871,155,5,254.0,4,1,4,414,9.0,Can't Lose Them,1
86907,202,3,138.95,3,1,4,314,8.0,Champions,1
86909,23,3,99.95,4,1,3,413,8.0,Champions,1
86942,180,2,97.95,4,1,3,413,8.0,Champions,1
86954,525,2,127.0,2,1,3,213,6.0,Potential,1
86964,71,8,299.0,4,1,4,414,9.0,Can't Lose Them,1
86967,272,2,294.0,3,1,4,314,8.0,Champions,1
86995,20,3,261.0,4,1,4,414,9.0,Can't Lose Them,1
87025,392,3,56.0,2,1,2,212,5.0,Promising,1
87031,80,7,425.95,4,1,4,414,9.0,Can't Lose Them,1
87044,293,3,230.0,3,1,4,314,8.0,Champions,1
87047,82,4,205.35000000000002,4,1,4,414,9.0,Can't Lose Them,1
87049,378,5,222.95,2,1,4,214,7.0,Loyal,1
87067,25,9,897.75,4,1,4,414,9.0,Can't Lose Them,1
87069,7,14,948.0,4,2,4,424,10.0,Can't Lose Them,1
87087,376,3,255.0,2,1,4,214,7.0,Loyal,1
87099,52,4,191.0,4,1,4,414,9.0,Can't Lose Them,1
87108,50,12,807.0,4,1,4,414,9.0,Can't Lose Them,1
87122,388,2,294.0,2,1,4,214,7.0,Loyal,1
87168,143,3,309.0,4,1,4,414,9.0,Can't Lose Them,1
87176,25,12,825.95,4,1,4,414,9.0,Can't Lose Them,1
87180,151,3,176.9,4,1,4,414,9.0,Can't Lose Them,1
87211,33,2,189.0,4,1,4,414,9.0,Can't Lose Them,1
87270,384,5,260.0,2,1,4,214,7.0,Loyal,1
87306,428,4,376.0,2,1,4,214,7.0,Loyal,1
87354,10,8,693.9,4,1,4,414,9.0,Can't Lose Them,1
87365,539,2,252.0,2,1,4,214,7.0,Loyal,1
87401,392,3,92.0,2,1,3,213,6.0,Potential,1
87408,349,2,117.0,3,1,3,313,7.0,Loyal,1
87424,151,2,316.0,4,1,4,414,9.0,Can't Lose Them,1
87453,33,8,509.0,4,1,4,414,9.0,Can't Lose Them,1
87498,373,2,456.0,2,1,4,214,7.0,Loyal,1
87517,485,3,79.0,2,1,3,213,6.0,Potential,1
87548,405,3,153.0,2,1,4,214,7.0,Loyal,1
87552,33,3,287.0,4,1,4,414,9.0,Can't Lose Them,1
87602,9,4,199.0,4,1,4,414,9.0,Can't Lose Them,1
87606,33,4,202.0,4,1,4,414,9.0,Can't Lose Them,1
87694,154,2,204.0,4,1,4,414,9.0,Can't Lose Them,1
87774,172,2,71.85,4,1,3,413,8.0,Champions,1
87778,147,8,293.95,4,1,4,414,9.0,Can't Lose Them,1
87784,44,6,417.5,4,1,4,414,9.0,Can't Lose Them,1
87852,73,2,158.0,4,1,4,414,9.0,Can't Lose Them,1
87956,22,3,159.0,4,1,4,414,9.0,Can't Lose Them,1
88005,37,6,235.0,4,1,4,414,9.0,Can't Lose Them,1
88077,259,2,205.0,3,1,4,314,8.0,Champions,1
88092,336,3,208.0,3,1,4,314,8.0,Champions,1
88416,76,10,552.0,4,1,4,414,9.0,Can't Lose Them,1
88439,185,2,158.0,3,1,4,314,8.0,Champions,1
88523,279,6,217.0,3,1,4,314,8.0,Champions,1
88663,29,5,551.0,4,1,4,414,9.0,Can't Lose Them,1
