,Email Ad Id,Locale,Client,Headline,Deal Category,Sales Category ,Ad Id,Clicks,% of Total,Publish Date,Emails Sent ,Price,Conversion Rate (N Clicks/ N Delivered Emails *100),Percentage Diff Demand (Emails sent vs. Clicks),PriceGroup,quartile_for_PED_calc
3,Year: 2019Week: 32,UK,Broadway Travel Service (Wimbledon) Ltd,£299pp -- Malta: deluxe all-inc week w/flights fr Manchester,Vacations,Vacation,2790739,2783,0.0004,8/7/2019,318628.0,299.0,0.8734323411627353,196.53652177430143,High,329.0
4,Year: 2019Week: 32,UK,Broadway Travel Service (Wimbledon) Ltd,£299pp -- Malta: deluxe all-inc week w/flights fr Newcastle,Vacations,Vacation,2790738,2534,0.0003,8/7/2019,261652.0,299.0,0.9684619265283659,196.16330918368118,High,329.0
5,Year: 2019Week: 32,UK,Citrus Holidays (trading division of The Wise Miser Limited),£1199pp -- India: private 10-nt Kerala tour w/flts & meals,Vacations,Travel Agency,2790112,10201,0.0013,8/7/2019,4827481.0,1199.0,0.21131103364259743,199.15653819329177,V.High,600.0
6,Year: 2019Week: 32,UK,Citrus Holidays (trading division of The Wise Miser Limited),"£1399pp -- Thailand, Vietnam & Cambodia: 14-nt private tour",Vacations,Travel Agency,2790075,14190,0.0018,8/7/2019,4827481.0,1399.0,0.29394212012434645,198.82767746920433,V.High,600.0
7,Year: 2019Week: 32,UK,Fleetway Travel Ltd,"£199pp -- Villa escape near Venice inc meals, from Belfast",Vacations,Travel Agency,2790745,886,0.0001,8/7/2019,54384.0,199.0,1.629155634010003,193.58784150533742,High,199.0
8,Year: 2019Week: 32,UK,Fleetway Travel Ltd,£289pp -- Iceland: 3-nt break w/tours; fly fr Manchester,Vacations,Travel Agency,2790705,4055,0.0005,8/7/2019,1160566.0,289.0,0.3493984831539094,198.60727223706255,High,329.0
9,Year: 2019Week: 32,UK,holidays.ch. AG (Travelzoo Packages),£1649pp -- Maldives beach villa week w/flights & meals,Vacations,Vacation,2790124,3224,0.0004,8/7/2019,916727.0,1649.0,0.35168594357971344,198.59818620774368,V.High,600.0
10,Year: 2019Week: 32,UK,holidays.ch. AG (Travelzoo Packages),"£169pp -- Deluxe 3-night Milan break inc flights, save 43%",Vacations,Vacation,2790174,2604,0.0003,8/7/2019,532138.0,169.0,0.48934674839985115,198.05214477261933,Mid,199.0
11,Year: 2019Week: 32,UK,Jetline Travel,"£149pp -- 7-night Algarve break w/transfers, fr the Midlands",Vacations,Travel Agency,2790700,3467,0.0004,8/7/2019,344912.0,149.0,1.0051839309736976,196.01927785543904,Mid,199.0
12,Year: 2019Week: 32,UK,Jetline Travel,"£149pp -- 7-night Algarve holiday w/transfers, fr Manchester",Vacations,Travel Agency,2790701,3441,0.0004,8/7/2019,318628.0,149.0,1.0799427545601767,195.72638161387778,Mid,199.0
13,Year: 2019Week: 32,UK,Jetline Travel,"£149pp -- 7-night Algarve holiday w/transfers, fr Newcastle",Vacations,Travel Agency,2790702,2833,0.0004,8/7/2019,261652.0,149.0,1.0827358476143885,195.7154470007751,Mid,199.0
14,Year: 2019Week: 32,UK,Jetline Travel,£399pp -- 5-star ultra all-inc Turkey week; fly fr Bristol,Vacations,Travel Agency,2790710,5198,0.0007000000000000001,8/7/2019,398756.0,399.0,1.303554053105157,194.85287928823578,High,599.0
25,Year: 2019Week: 32,UK,Blue Bay Travel Ltd.,£799pp & up -- All-inc Tobago beach holiday w/sea view,Vacations,Vacation,2790621,8622,0.0011,8/7/2019,2149920.0,799.0,0.40103817816476894,198.4022548553607,V.High,600.0
26,Year: 2019Week: 32,UK,Blue Bay Travel Ltd.,"£899pp -- All-inc Tobago beach week w/sea view, save 59%",Vacations,Vacation,2790672,6296,0.0008,8/7/2019,1516995.0,899.0,0.41503103174367745,198.34673742574464,V.High,600.0
27,Year: 2019Week: 32,UK,Blue Sea Holidays Ltd,"£125pp -- Budapest: 3-night Christmas market break, save 42%",Vacations,Vacation,2790559,15685,0.002,8/7/2019,2413732.0,125.0,0.6498235926772318,197.41748740541456,Mid,199.0
28,Year: 2019Week: 32,UK,Broadway Travel Service (Wimbledon) Ltd,£299pp -- Malta: deluxe all-inc week w/flights & sea views,Vacations,Vacation,2790626,13565,0.0017000000000000001,8/7/2019,1833456.0,299.0,0.7398595875766858,197.06229653046717,High,329.0
29,Year: 2019Week: 32,UK,Broadway Travel Service (Wimbledon) Ltd,"£329pp -- Croatia: deluxe island week w/flts, meals & ferry",Vacations,Vacation,2790502,24349,0.0031,8/7/2019,2413736.0,329.0,1.0087681502865269,196.00522541256765,High,329.0
30,Year: 2019Week: 32,UK,Fleetway Travel Ltd,"£199pp -- Villa escape near Venice w/flts & meals, save 39%",Vacations,Travel Agency,2790167,3680,0.0005,8/7/2019,1009890.0,199.0,0.3643961223499589,198.54770760776265,High,199.0
31,Year: 2019Week: 32,UK,Fleetway Travel Ltd,"£199pp -- Villa escape nr Venice inc meals, fr East Midlands",Vacations,Travel Agency,2790748,1979,0.0002,8/7/2019,344912.0,199.0,0.5737695412163102,197.71801516903005,High,199.0
32,Year: 2019Week: 32,UK,Fleetway Travel Ltd,"£289pp -- Iceland: 3-nt break w/tours, from Belfast",Vacations,Travel Agency,2790704,868,0.0001,8/7/2019,108771.0,289.0,0.7980068216712176,196.8332436450533,High,329.0
33,Year: 2019Week: 32,UK,holidays.ch. AG (Travelzoo Packages),"£1649pp -- Maldives: beach villa week w/meals, fr Manchester",Vacations,Vacation,2790483,1110,0.0001,8/7/2019,290140.0,1649.0,0.3825739298269801,198.47553648068669,V.High,600.0
34,Year: 2019Week: 32,UK,holidays.ch. AG (Travelzoo Packages),£169pp -- Milan: deluxe 3-night break w/flights from Bristol,Vacations,Vacation,2790754,1486,0.0002,8/7/2019,142610.0,169.0,1.0420026646097749,195.8749722407284,Mid,199.0
35,Year: 2019Week: 32,UK,holidays.ch. AG (Travelzoo Packages),£169pp -- Milan: deluxe 3-nt break w/flights from the North,Vacations,Vacation,2790760,2362,0.0003,8/7/2019,290140.0,169.0,0.8140897497759703,196.769936615818,Mid,199.0
36,Year: 2019Week: 32,UK,holidays.ch. AG (Travelzoo Packages),£189pp -- Deluxe 3-nt Milan break w/flts from the Midlands,Vacations,Vacation,2790762,1287,0.0002,8/7/2019,172456.0,189.0,0.7462773113141903,197.03700292961443,High,199.0
